,贸易合作与投资,中国与东南亚合作共建,技术与产业,市场与金融服务,企业发展,新冠疫情,中国与南亚合作共建,外交关系与国际竞争,军备实力,中国与东南亚合作共建,国家主权与安全,人权保障与发展
贸易合作与投资,0,20314,8900,9647,9226,9326,16248,13987,11715,20314,5738,1666
中国与东南亚合作共建,20314,0,6827,7244,7261,7055,12927,10888,9170,0,4606,1290
技术与产业,8900,6827,0,3677,3418,3263,5606,4923,4402,6827,2011,644
市场与金融服务,9647,7244,3677,0,3606,3584,5977,5024,4497,7244,2087,634
企业发展,9226,7261,3418,3606,0,3458,5997,5055,4480,7261,2134,644
新冠疫情,9326,7055,3263,3584,3458,0,5777,5509,4457,7055,2331,762
中国与南亚合作共建,16248,12927,5606,5977,5997,5777,0,9006,7501,12927,3755,1102
外交关系与国际竞争,13987,10888,4923,5024,5055,5509,9006,0,6617,10888,3628,1084
军备实力,11715,9170,4402,4497,4480,4457,7501,6617,0,9170,2678,861
中国与东南亚合作共建,20314,0,6827,7244,7261,7055,12927,10888,9170,0,4606,1290
国家主权与安全,5738,4606,2011,2087,2134,2331,3755,3628,2678,4606,0,490
人权保障与发展,1666,1290,644,634,644,762,1102,1084,861,1290,490,0
