,care.vice,care.virtue,fairness.vice,fairness.virtue,loyalty.vice,loyalty.virtue,authority.vice,authority.virtue,sanctity.vice,sanctity.virtue
brought,0.18,0.0,0.11428571428571427,0.0,0.08,0.0,0.09655172413793103,0.0,0.05333333333333334,0.0
close,0.0,0.07335907335907338,0.031372549019607836,0.0,0.1153846153846154,0.0,0.07722007722007722,0.0,0.0,0.08482142857142858
marine,0.02985074626865672,0.0,0.011764705882352941,0.0,0.04385964912280702,0.0,0.0,0.0,0.0,0.0
campus,0.0,0.045454545454545456,0.09090909090909093,0.0,0.04878048780487805,0.0,0.0,0.046875,0.08163265306122447,0.0
provincial,0.08823529411764706,0.0,0.0,0.0,0.06666666666666668,0.0,0.1935483870967742,0.0,0.0,0.0
targeting,0.1851851851851852,0.0,0.2619047619047619,0.0,0.10344827586206896,0.0,0.10606060606060606,0.0,0.0851063829787234,0.0
farmer,0.13157894736842105,0.0,0.29411764705882354,0.0,0.14285714285714285,0.0,0.03571428571428571,0.0,0.0625,0.0
tell,0.0,0.06993006993006994,0.0,0.09333333333333334,0.09923664122137403,0.0,0.05625,0.0,0.0,0.11965811965811965
liked,0.0,0.0,0.0,0.047619047619047616,0.0,0.1724137931034483,0.0,0.08695652173913042,0.0,0.1176470588235294
situation,0.10285714285714287,0.0,0.09923664122137403,0.0,0.0,0.02985074626865672,0.08900523560209424,0.0,0.06802721088435375,0.0
intends,0.0,0.0,0.0,0.26666666666666666,0.0,0.3333333333333333,0.0,0.20833333333333331,0.08695652173913042,0.0
shelters,0.4137931034482759,0.0,0.0,0.0,0.05555555555555555,0.0,0.17647058823529413,0.0,0.0,0.0
notifications,0.12,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.18181818181818185,0.0
rock,0.028985507246376805,0.0,0.034883720930232565,0.0,0.024096385542168683,0.0,0.07339449541284404,0.0,0.0,0.025974025974025976
far,0.08174386920980926,0.0,0.11576354679802955,0.0,0.06666666666666668,0.0,0.1024390243902439,0.0,0.05865102639296187,0.0
successor,0.0,0.057142857142857134,0.0,0.04651162790697674,0.0,0.1956521739130435,0.0,0.06666666666666668,0.0,0.05263157894736842
effective,0.0,0.15,0.0,0.08256880733944955,0.0,0.05,0.0,0.09565217391304348,0.0,0.12048192771084335
open,0.0,0.09929078014184398,0.0,0.1320754716981132,0.0,0.11808118081180813,0.1096345514950166,0.0,0.0,0.09090909090909093
people,0.1950266429840142,0.0,0.14119718309859156,0.0,0.13149522799575822,0.0,0.12391831083419867,0.0,0.11639146194120015,0.0
locked,0.2903225806451613,0.0,0.2,0.0,0.2,0.0,0.0,0.19230769230769232,0.12121212121212123,0.0
insurgent,0.1875,0.0,0.0,0.0,0.14285714285714285,0.0,0.2,0.0,0.0,0.07692307692307693
agreement,0.0,0.06532663316582915,0.0,0.09132420091324199,0.0,0.12053571428571427,0.0,0.07971014492753623,0.0,0.04666666666666667
vow,0.0,0.2857142857142857,0.0,0.0,0.0,0.24,0.0,0.1111111111111111,0.0,0.10526315789473684
fit,0.03389830508474576,0.0,0.0,0.0967741935483871,0.0,0.05555555555555555,0.0,0.08333333333333333,0.0,0.1388888888888889
spending,0.0,0.10869565217391304,0.0,0.1238095238095238,0.0,0.06666666666666668,0.0,0.03723404255319149,0.03910614525139665,0.0
civil,0.0915032679738562,0.0,0.11239193083573487,0.0,0.09264305177111716,0.0,0.14084507042253522,0.0,0.07641196013289038,0.0
room,0.0,0.0990990990990991,0.0,0.058510638297872335,0.0481283422459893,0.0,0.0,0.09045226130653268,0.0,0.08695652173913042
expand,0.0,0.17647058823529413,0.0,0.08695652173913042,0.0,0.16279069767441862,0.0,0.16,0.0,0.0975609756097561
acting,0.0,0.11904761904761905,0.13043478260869565,0.0,0.15217391304347827,0.0,0.125,0.0,0.03333333333333333,0.0
break,0.0,0.1411764705882353,0.0,0.10476190476190476,0.1875,0.0,0.1553398058252427,0.0,0.09722222222222222,0.0
watchdog,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.05555555555555555,0.0,0.08571428571428573
added,0.04335260115606936,0.0,0.0,0.04927536231884058,0.0,0.028205128205128206,0.0,0.0213903743315508,0.047619047619047616,0.0
high,0.09659090909090907,0.0,0.08787878787878788,0.0,0.12146892655367232,0.0,0.0,0.12103746397694524,0.0,0.1213872832369942
black,0.1234866828087167,0.0,0.10548523206751056,0.0,0.13785557986870894,0.0,0.11389521640091115,0.0,0.07894736842105263,0.0
killing,0.3840579710144928,0.0,0.17682926829268292,0.0,0.20149253731343286,0.0,0.11347517730496455,0.0,0.22764227642276424,0.0
fruit,0.07407407407407407,0.0,0.0,0.0,0.18181818181818185,0.0,0.0,0.0,0.3333333333333333,0.0
fatal,0.2222222222222222,0.0,0.1282051282051282,0.0,0.12,0.0,0.054054054054054064,0.0,0.09090909090909093,0.0
emails,0.1258741258741259,0.0,0.2014388489208633,0.0,0.1111111111111111,0.0,0.0949367088607595,0.0,0.0925925925925926,0.0
attempt,0.17777777777777778,0.0,0.16778523489932887,0.0,0.152046783625731,0.0,0.16923076923076924,0.0,0.053691275167785234,0.0
absolutely,0.0,0.10526315789473684,0.0,0.14516129032258066,0.0,0.1851851851851852,0.0,0.17647058823529413,0.14814814814814814,0.0
religious,0.11688311688311688,0.0,0.14659685863874344,0.0,0.1111111111111111,0.0,0.0,0.20535714285714285,0.0,0.26495726495726496
jihadist,0.3,0.0,0.07692307692307693,0.0,0.0,0.12903225806451613,0.0,0.18604651162790695,0.0,0.0
husband,0.0,0.08163265306122447,0.11904761904761905,0.0,0.13636363636363635,0.0,0.12698412698412698,0.0,0.11956521739130435,0.0
local,0.1247216035634744,0.0,0.12096774193548387,0.0,0.0,0.09416195856873824,0.1371527777777778,0.0,0.09090909090909093,0.0
fresh,0.0,0.04444444444444445,0.0,0.16279069767441862,0.0,0.10416666666666667,0.0,0.06,0.0,0.14035087719298245
recover,0.1956521739130435,0.0,0.15151515151515152,0.0,0.11627906976744184,0.0,0.10256410256410256,0.0,0.14705882352941174,0.0
workers,0.2110726643598616,0.0,0.1610738255033557,0.0,0.10580204778156996,0.0,0.0935672514619883,0.0,0.0988593155893536,0.0
estimate,0.15789473684210525,0.0,0.060606060606060615,0.0,0.023809523809523808,0.0,0.0,0.0,0.08,0.0
racial,0.17567567567567569,0.0,0.3603603603603603,0.0,0.18604651162790695,0.0,0.13513513513513514,0.0,0.175,0.0
sort,0.0,0.14102564102564102,0.08974358974358974,0.0,0.1038961038961039,0.0,0.12371134020618554,0.0,0.059701492537313425,0.0
passed,0.09714285714285714,0.0,0.0,0.12571428571428572,0.0,0.03592814371257485,0.0,0.16145833333333334,0.03571428571428571,0.0
cleared,0.2631578947368421,0.0,0.0,0.15384615384615385,0.0,0.18181818181818185,0.0,0.0,0.0,0.0
rates,0.07142857142857142,0.0,0.09302325581395347,0.0,0.05303030303030303,0.0,0.02469135802469136,0.0,0.057142857142857134,0.0
pushed,0.0,0.11458333333333333,0.08,0.0,0.1125,0.0,0.14473684210526316,0.0,0.09523809523809523,0.0
running,0.0472972972972973,0.0,0.0,0.054421768707482984,0.0670391061452514,0.0,0.0,0.12716763005780346,0.09090909090909093,0.0
fix,0.0,0.14035087719298245,0.09302325581395347,0.0,0.2195121951219512,0.0,0.0,0.0,0.07317073170731707,0.0
insurance,0.12811387900355872,0.0,0.12365591397849462,0.0,0.0776255707762557,0.0,0.05755395683453238,0.0,0.0,0.1016949152542373
marches,0.0,0.0,0.0,0.0,0.0,0.2058823529411765,0.0,0.17391304347826084,0.0,0.08
discriminatory,0.16666666666666666,0.0,0.4090909090909091,0.0,0.0967741935483871,0.0,0.09523809523809523,0.0,0.19047619047619047,0.0
suggest,0.0,0.060606060606060615,0.057471264367816084,0.0,0.08411214953271028,0.0,0.03333333333333333,0.0,0.05194805194805195,0.0
parents,0.0,0.1341991341991342,0.12222222222222222,0.0,0.115,0.0,0.10970464135021098,0.0,0.07741935483870968,0.0
economy,0.0,0.08823529411764706,0.0,0.10548523206751056,0.0,0.07317073170731707,0.05426356589147287,0.0,0.07048458149779736,0.0
coordinated,0.15384615384615385,0.0,0.17647058823529413,0.0,0.2,0.0,0.3157894736842105,0.0,0.16666666666666666,0.0
planes,0.0,0.20512820512820512,0.0,0.0,0.0,0.047619047619047616,0.0,0.029411764705882356,0.06666666666666668,0.0
real,0.10510510510510512,0.0,0.0,0.09226190476190477,0.0,0.08086253369272238,0.0,0.08211143695014662,0.06802721088435375,0.0
prejudice,0.17391304347826084,0.0,0.2307692307692308,0.0,0.3333333333333333,0.0,0.2857142857142857,0.0,0.2,0.0
user,0.21428571428571427,0.0,0.0,0.21621621621621626,0.0,0.2272727272727273,0.0,0.18181818181818185,0.3636363636363637,0.0
assume,0.0,0.05660377358490566,0.0,0.08333333333333333,0.0,0.1020408163265306,0.0,0.08333333333333333,0.0,0.0
traveled,0.09615384615384616,0.0,0.0,0.04878048780487805,0.04411764705882353,0.0,0.0,0.0196078431372549,0.0,0.04444444444444445
fashion,0.031746031746031744,0.0,0.0,0.0,0.0,0.0641025641025641,0.07792207792207792,0.0,0.0,0.0
accepting,0.0,0.045454545454545456,0.0,0.2307692307692308,0.0,0.08333333333333333,0.0,0.08571428571428573,0.09375,0.0
small,0.09540636042402828,0.0,0.08208955223880597,0.0,0.1076923076923077,0.0,0.0,0.10465116279069768,0.08056872037914692,0.0
writing,0.0,0.0,0.04225352112676056,0.0,0.0,0.027210884353741496,0.04065040650406504,0.0,0.01818181818181818,0.0
test,0.07142857142857142,0.0,0.0,0.09195402298850576,0.16842105263157894,0.0,0.101010101010101,0.0,0.0,0.08860759493670886
level,0.1176470588235294,0.0,0.0,0.14201183431952666,0.0,0.05847953216374269,0.08275862068965517,0.0,0.19444444444444445,0.0
trapped,0.32,0.0,0.2,0.0,0.030303030303030307,0.0,0.04166666666666666,0.0,0.19230769230769232,0.0
legislative,0.0,0.054945054945054944,0.10714285714285714,0.0,0.0,0.10344827586206896,0.09090909090909093,0.0,0.0,0.08247422680412371
special,0.0,0.09205020920502092,0.0,0.08755760368663594,0.0,0.09,0.0,0.07142857142857142,0.0,0.06179775280898876
behalf,0.14754098360655735,0.0,0.09836065573770493,0.0,0.3333333333333333,0.0,0.14545454545454545,0.0,0.16666666666666666,0.0
